Name,ISIN,Stock Market,Regulator 
Christian Berner Tech Trade B,SE0006143129,Nasdaq Stockholm ,FIS
Inwido,SE0006220018,Nasdaq Stockholm ,FIS
Gränges,SE0006288015,Nasdaq Stockholm ,FIS
NP3 Fastigheter,SE0006342333,Nasdaq Stockholm ,FIS
Lifco B,SE0006370730,Nasdaq Stockholm ,FIS
Cantargia,SE0006371126,Nasdaq Stockholm ,FIS
Image Systems,SE0006421871,Nasdaq Stockholm ,FIS
Thule Group,SE0006422390,Nasdaq Stockholm ,FIS
Eltel,SE0006509949,Nasdaq Stockholm ,FIS
Stendörren Fastigheter B,SE0006543344,Nasdaq Stockholm ,FIS
Klövern A,SE0006593901,Nasdaq Stockholm ,FIS
Klövern B,SE0006593919,Nasdaq Stockholm ,FIS
Klövern pref,SE0006593927,Nasdaq Stockholm ,FIS
Dustin Group,SE0006625471,Nasdaq Stockholm ,FIS
K2A Knaust & Andersson Pref,SE0006852075,Nasdaq Stockholm ,FIS
Hoist Finance,SE0006887063,Nasdaq Stockholm ,FIS
Oscar Properties Holding PREF,SE0006992335,Nasdaq Stockholm ,FIS
Axfood,SE0006993770,Nasdaq Stockholm ,FIS
Collector,SE0007048020,Nasdaq Stockholm ,FIS
HEXPOL B,SE0007074281,Nasdaq Stockholm ,FIS
Magnolia Bostad,SE0007074505,Nasdaq Stockholm ,FIS
Wallenstam B,SE0007074844,Nasdaq Stockholm ,FIS
Eolus Vind B,SE0007075056,Nasdaq Stockholm ,FIS
Nilörngruppen B,SE0007100342,Nasdaq Stockholm ,FIS
Pandox B,SE0007100359,Nasdaq Stockholm ,FIS
ASSA ABLOY B,SE0007100581,Nasdaq Stockholm ,FIS
Sv. Handelsbanken A,SE0007100599,Nasdaq Stockholm ,FIS
Sv. Handelsbanken B,SE0007100607,Nasdaq Stockholm ,FIS
Coor Service Management Hold.,SE0007158829,Nasdaq Stockholm ,FIS
Alimak Group,SE0007158910,Nasdaq Stockholm ,FIS
Starbreeze A,SE0007158928,Nasdaq Stockholm ,FIS
Genova Property Group,SE0007184189,Nasdaq Stockholm ,FIS
Nobina,SE0007185418,Nasdaq Stockholm ,FIS
Wise Group,SE0007277876,Nasdaq Stockholm ,FIS
Serneke Group B,SE0007278841,Nasdaq Stockholm ,FIS
TF Bank,SE0007331608,Nasdaq Stockholm ,FIS
Sinch,SE0007439112,Nasdaq Stockholm ,FIS
Karo Pharma,SE0007464888,Nasdaq Stockholm ,FIS
Bravida Holding,SE0007491303,Nasdaq Stockholm ,FIS
Genova Property Group Pref,SE0007526132,Nasdaq Stockholm ,FIS
Vicore Pharma Holding,SE0007577895,Nasdaq Stockholm ,FIS
Scandic Hotels Group,SE0007640156,Nasdaq Stockholm ,FIS
Resurs Holding,SE0007665823,Nasdaq Stockholm ,FIS
Attendo,SE0007666110,Nasdaq Stockholm ,FIS
Dometic Group,SE0007691613,Nasdaq Stockholm ,FIS
Camurus,SE0007692850,Nasdaq Stockholm ,FIS
Xbrane Biopharma,SE0007789409,Nasdaq Stockholm ,FIS
Vitec Software Group B,SE0007871363,Nasdaq Stockholm ,FIS
Kindred Group,SE0007871645,Nasdaq Stockholm ,FIS
AcadeMedia,SE0007897079,Nasdaq Stockholm ,FIS
Garo,SE0008008262,Nasdaq Stockholm ,FIS
Infant Bacterial TherapeuticsB,SE0008015259,Nasdaq Stockholm ,FIS
Humana,SE0008040653,Nasdaq Stockholm ,FIS
Oscar Properties Holding PREFB,SE0008041248,Nasdaq Stockholm ,FIS
Bonava A,SE0008091573,Nasdaq Stockholm ,FIS
Bonava B,SE0008091581,Nasdaq Stockholm ,FIS
LeoVegas,SE0008091904,Nasdaq Stockholm ,FIS
Endomines,SE0008294334,Nasdaq Stockholm ,FIS
IRRAS,SE0008321202,Nasdaq Stockholm ,FIS
NIBE Industrier B,SE0008321293,Nasdaq Stockholm ,FIS
Öresund,SE0008321608,Nasdaq Stockholm ,FIS
BE Group,SE0008321921,Nasdaq Stockholm ,FIS
Brinova Fastigheter B,SE0008347652,Nasdaq Stockholm ,FIS
B3 Consulting Group,SE0008347660,Nasdaq Stockholm ,FIS
Trention,SE0008348767,Nasdaq Stockholm ,FIS
Fingerprint Cards B,SE0008374250,Nasdaq Stockholm ,FIS
ITAB Shop Concept B,SE0008375117,Nasdaq Stockholm ,FIS
Internationella Engelska Skola,SE0008585525,Nasdaq Stockholm ,FIS
Volati,SE0009143662,Nasdaq Stockholm ,FIS
Volati Pref,SE0009143670,Nasdaq Stockholm ,FIS
MedCap,SE0009160872,Nasdaq Stockholm ,FIS
Sagax D,SE0009161052,Nasdaq Stockholm ,FIS
Mips,SE0009216278,Nasdaq Stockholm ,FIS
Edgeware,SE0009268360,Nasdaq Stockholm ,FIS
Actic Group,SE0009269467,Nasdaq Stockholm ,FIS
Oncopeptides,SE0009414576,Nasdaq Stockholm ,FIS
Samhällsbyggnadsbo. i Norden B,SE0009554454,Nasdaq Stockholm ,FIS
SSM Holding,SE0009663511,Nasdaq Stockholm ,FIS
Ambea,SE0009663826,Nasdaq Stockholm ,FIS
Instalco,SE0009664253,Nasdaq Stockholm ,FIS
Enea,SE0009697220,Nasdaq Stockholm ,FIS
Medicover B,SE0009778848,Nasdaq Stockholm ,FIS
Munters Group,SE0009806607,Nasdaq Stockholm ,FIS
BONESUPPORT HOLDING,SE0009858152,Nasdaq Stockholm ,FIS
Boozt,SE0009888738,Nasdaq Stockholm ,FIS
Bilia A,SE0009921588,Nasdaq Stockholm ,FIS
Essity A,SE0009922156,Nasdaq Stockholm ,FIS
Essity B,SE0009922164,Nasdaq Stockholm ,FIS
Momentum Group B,SE0009922305,Nasdaq Stockholm ,FIS
NGS Group,SE0009947708,Nasdaq Stockholm ,FIS
Xspray Pharma,SE0009973563,Nasdaq Stockholm ,FIS
HMS Networks,SE0009997018,Nasdaq Stockholm ,FIS
Fagerhult,SE0010048884,Nasdaq Stockholm ,FIS
Latour B,SE0010100958,Nasdaq Stockholm ,FIS
Handicare Group,SE0010298109,Nasdaq Stockholm ,FIS
BioArctic B,SE0010323311,Nasdaq Stockholm ,FIS
Balco Group,SE0010323998,Nasdaq Stockholm ,FIS
Arion Banki SDB,SE0010413567,Nasdaq Stockholm ,FIS
Anoto Group,SE0010415281,Nasdaq Stockholm ,FIS
Railcare Group,SE0010441139,Nasdaq Stockholm ,FIS
Calliditas Therapeutics,SE0010441584,Nasdaq Stockholm ,FIS
Arjo B,SE0010468116,Nasdaq Stockholm ,FIS
K2A Knaust & Andersson B,SE0010520254,Nasdaq Stockholm ,FIS
Ascelia Pharma,SE0010573113,Nasdaq Stockholm ,FIS
Svolder A,SE0010663302,Nasdaq Stockholm ,FIS
Svolder B,SE0010663310,Nasdaq Stockholm ,FIS
Corem Property Group A,SE0010714279,Nasdaq Stockholm ,FIS
Corem Property Group B,SE0010714287,Nasdaq Stockholm ,FIS
Corem Property Group Pref,SE0010714311,Nasdaq Stockholm ,FIS
Empir Group B,SE0010769182,Nasdaq Stockholm ,FIS
NP3 Fastigheter Pref,SE0010820514,Nasdaq Stockholm ,FIS
Viking Supply Ships B,SE0010820613,Nasdaq Stockholm ,FIS
BHG Group,SE0010948588,Nasdaq Stockholm ,FIS
Green Landscaping Group,SE0010985028,Nasdaq Stockholm ,FIS
Holmen A,SE0011090000,Nasdaq Stockholm ,FIS
Holmen B,SE0011090018,Nasdaq Stockholm ,FIS
Beijer Alma B,SE0011090547,Nasdaq Stockholm ,FIS
Veoneer SDB,SE0011115963,Nasdaq Stockholm ,FIS
Beijer Ref B,SE0011116508,Nasdaq Stockholm ,FIS
Atlas Copco A,SE0011166610,Nasdaq Stockholm ,FIS
